"German Word","Article (der/die/das)","Part of Speech","English Translation","German Example Sentence","English Example Sentence","Category","Difficulty"
"Herzlichen Glückwunsch","","phrase","Congratulations","Herzlichen Glückwunsch zum Geburtstag!","Happy birthday! / Congratulations on your birthday!","Greetings & Phrases","A1.3"
"Wie geht es Ihnen?","","phrase","How are you? (formal)","Wie geht es Ihnen? – Danke, gut.","How are you? – Fine, thank you.","Greetings & Phrases","A1.1"
"Wie geht es dir?","","phrase","How are you? (informal)","Wie geht es dir? – Gut, und dir?","How are you? – Fine, and you?","Greetings & Phrases","A1.1"
"Ja","","adv","Yes","Ja, das stimmt.","Yes, that's right.","Greetings & Phrases","A1.1"
"Nein","","adv","No","Nein, das ist falsch.","No, that is wrong.","Greetings & Phrases","A1.1"
"Doch","","adv","Yes (contradicting a negative)","Doch, ich komme!","Yes I am coming! (contradicting)","Greetings & Phrases","A1.3"
"Name","der","noun","name","Wie ist Ihr Name?","What is your name?","Personal Information","A1.1"
"Namen","die","noun (pl)","names","Wie sind Ihre Namen?","What are your names?","Personal Information","A1.1"
"Vorname","der","noun","first name","Mein Vorname ist Anna.","My first name is Anna.","Personal Information","A1.1"
"Nachname","der","noun","surname / last name","Mein Nachname ist Müller.","My last name is Müller.","Personal Information","A1.3"
"Adresse","die","noun","address","Ich schreibe meine Adresse auf.","I'm writing down my address.","Personal Information","A1.1"
"Adressen","die","noun (pl)","addresses","Ich habe alle Adressen aufgeschrieben.","I have written down all the addresses.","Personal Information","A1.1"
"Straße","die","noun","street","Ich wohne in der Hauptstraße.","I live on Main Street.","Personal Information","A1.1"
"Straßen","die","noun (pl)","streets / roads","Die Straßen sind voll.","The streets are busy.","Transport & Travel","A1.1"
"Hausnummer","die","noun","house number","Die Hausnummer ist 12.","The house number is 12.","Personal Information","A1.3"
"Postleitzahl","die","noun","postcode / zip code","Die Postleitzahl ist 10115.","The postcode is 10115.","Personal Information","A1.3"
"Stadt","die","noun","city / town","Ich wohne in einer großen Stadt.","I live in a big city.","Personal Information","A1.1"
"Städte","die","noun (pl)","cities / towns","Deutschland hat viele schöne Städte.","Germany has many beautiful cities.","Places in Town","A1.1"
"Land","das","noun","country","Aus welchem Land kommen Sie?","Which country are you from?","Personal Information","A1.1"
"Länder","die","noun (pl)","countries","Europa hat viele Länder.","Europe has many countries.","Countries & Languages","A1.1"
"Nationalität","die","noun","nationality","Was ist Ihre Nationalität?","What is your nationality?","Personal Information","A1.3"
"Nationalitäten","die","noun (pl)","nationalities","Es gibt viele Nationalitäten hier.","There are many nationalities here.","Countries & Languages","A1.3"
"Staatsangehörigkeit","die","noun","citizenship / nationality","Meine Staatsangehörigkeit ist deutsch.","My citizenship is German.","Personal Information","A1.3"
"Geburtsdatum","das","noun","date of birth","Mein Geburtsdatum ist der 5. März 1990.","My date of birth is 5 March 1990.","Personal Information","A1.3"
"Geburtsort","der","noun","place of birth","Mein Geburtsort ist Wien.","My place of birth is Vienna.","Personal Information","A1.3"
"Alter","das","noun","age","Wie alt bist du? Mein Alter ist 25.","How old are you? My age is 25.","Personal Information","A1.3"
"Telefonnummer","die","noun","telephone number","Wie ist Ihre Telefonnummer?","What is your telephone number?","Personal Information","A1.1"
"Telefonnummern","die","noun (pl)","telephone numbers","Ich habe zwei Telefonnummern.","I have two telephone numbers.","Personal Information","A1.1"
"E-Mail-Adresse","die","noun","email address","Meine E-Mail-Adresse ist anna@beispiel.de.","My email address is anna@example.de.","Personal Information","A1.3"
"Beruf","der","noun","job / profession","Was ist Ihr Beruf?","What is your profession?","Personal Information","A1.3"
"Berufe","die","noun (pl)","professions / jobs","Es gibt viele verschiedene Berufe.","There are many different professions.","Personal Information","A1.3"
"Familienstand","der","noun","marital status","Mein Familienstand ist ledig.","My marital status is single.","Personal Information","A1.3"
"Unterschrift","die","noun","signature","Bitte schreiben Sie Ihre Unterschrift hier.","Please write your signature here.","Personal Information","A1.3"
"Formular","das","noun","form","Füllen Sie bitte das Formular aus.","Please fill in the form.","Personal Information","A1.3"
"Formulare","die","noun (pl)","forms","Bitte füllen Sie alle Formulare aus.","Please fill in all the forms.","Personal Information","A1.3"
"Pass","der","noun","passport","Ich brauche meinen Pass.","I need my passport.","Personal Information","A1.3"
"Pässe","die","noun (pl)","passports","Die Pässe liegen auf dem Tisch.","The passports are on the table.","Personal Information","A1.3"
"Personalausweis","der","noun","ID card","Darf ich Ihren Personalausweis sehen?","May I see your ID card?","Personal Information","A1.3"
"Familie","die","noun","family","Meine Familie wohnt in Berlin.","My family lives in Berlin.","Family","A1.1"
"Familien","die","noun (pl)","families","Viele Familien wohnen hier.","Many families live here.","Family","A1.1"
"Mutter","die","noun","mother","Meine Mutter kocht sehr gut.","My mother cooks very well.","Family","A1.1"
"Mütter","die","noun (pl)","mothers","Die Mütter warten vor der Schule.","The mothers are waiting in front of the school.","Family","A1.1"
"Vater","der","noun","father","Mein Vater arbeitet viel.","My father works a lot.","Family","A1.1"
"Väter","die","noun (pl)","fathers","Die Väter spielen mit den Kindern.","The fathers play with the children.","Family","A1.1"
"Eltern","die","noun (pl)","parents","Meine Eltern wohnen in München.","My parents live in Munich.","Family","A1.1"
"Sohn","der","noun","son","Mein Sohn geht zur Schule.","My son goes to school.","Family","A1.2"
"Söhne","die","noun (pl)","sons","Sie hat drei Söhne.","She has three sons.","Family","A1.2"
"Tochter","die","noun","daughter","Meine Tochter ist drei Jahre alt.","My daughter is three years old.","Family","A1.2"
"Töchter","die","noun (pl)","daughters","Wir haben zwei Töchter.","We have two daughters.","Family","A1.2"
"Kind","das","noun","child","Das Kind spielt im Garten.","The child is playing in the garden.","Family","A1.1"
"Kinder","die","noun (pl)","children","Die Kinder spielen im Park.","The children are playing in the park.","Family","A1.1"
"Bruder","der","noun","brother","Mein Bruder ist älter als ich.","My brother is older than me.","Family","A1.1"
"Brüder","die","noun (pl)","brothers","Er hat zwei Brüder.","He has two brothers.","Family","A1.1"
"Schwester","die","noun","sister","Meine Schwester wohnt in Hamburg.","My sister lives in Hamburg.","Family","A1.1"
"Schwestern","die","noun (pl)","sisters","Sie hat drei Schwestern.","She has three sisters.","Family","A1.1"
"Geschwister","die","noun (pl)","siblings","Ich habe zwei Geschwister.","I have two siblings.","Family","A1.2"
"Großvater","der","noun","grandfather","Mein Großvater ist 80 Jahre alt.","My grandfather is 80 years old.","Family","A1.3"
"Großväter","die","noun (pl)","grandfathers","Beide Großväter sind alt.","Both grandfathers are old.","Family","A1.3"
"Großmutter","die","noun","grandmother","Meine Großmutter kocht sehr gut.","My grandmother cooks very well.","Family","A1.3"
"Großmütter","die","noun (pl)","grandmothers","Die Großmütter kochen zusammen.","The grandmothers cook together.","Family","A1.3"
"Großeltern","die","noun (pl)","grandparents","Meine Großeltern wohnen auf dem Land.","My grandparents live in the countryside.","Family","A1.3"
"Enkel","der","noun","grandson","Der Enkel besucht seine Oma.","The grandson visits his grandmother.","Family","A1.3"
"Enkel","die","noun (pl)","grandsons","Er hat vier Enkel.","He has four grandsons.","Family","A1.3"
"Enkelin","die","noun","granddaughter","Die Enkelin spielt mit der Oma.","The granddaughter plays with her grandmother.","Family","A1.3"
"Enkelinnen","die","noun (pl)","granddaughters","Ich habe zwei Enkelinnen.","I have two granddaughters.","Family","A1.3"
"Onkel","der","noun","uncle","Mein Onkel wohnt in Österreich.","My uncle lives in Austria.","Family","A1.3"
"Onkel","die","noun (pl)","uncles","Meine Onkel kommen zu Besuch.","My uncles are coming to visit.","Family","A1.3"
"Tante","die","noun","aunt","Meine Tante besucht uns morgen.","My aunt is visiting us tomorrow.","Family","A1.3"
"Tanten","die","noun (pl)","aunts","Meine Tanten wohnen in Bayern.","My aunts live in Bavaria.","Family","A1.3"
"Cousin","der","noun","male cousin","Mein Cousin spielt Fußball.","My cousin plays football.","Family","A1.3"
"Cousins","die","noun (pl)","male cousins","Meine Cousins spielen Fußball.","My cousins play football.","Family","A1.3"
"Cousine","die","noun","female cousin","Meine Cousine studiert Medizin.","My female cousin studies medicine.","Family","A1.3"
"Cousinen","die","noun (pl)","female cousins","Meine Cousinen studieren in Berlin.","My cousins study in Berlin.","Family","A1.3"
"Mann","der","noun","husband / man","Mein Mann heißt Thomas.","My husband's name is Thomas.","Family","A1.1"
"Frau","die","noun","wife / woman / Mrs","Meine Frau heißt Sabine.","My wife's name is Sabine.","Family","A1.1"
"Ehemann","der","noun","husband (married)","Ihr Ehemann ist Arzt.","Her husband is a doctor.","Family","A1.2"
"Ehefrau","die","noun","wife (married)","Seine Ehefrau arbeitet als Lehrerin.","His wife works as a teacher.","Family","A1.2"
"Partner","der","noun","partner (male)","Mein Partner kommt aus Italien.","My partner comes from Italy.","Family","A1.3"
"Partnerin","die","noun","partner (female)","Meine Partnerin spricht drei Sprachen.","My partner speaks three languages.","Family","A1.3"
"Freund","der","noun","boyfriend / male friend","Mein Freund heißt Max.","My boyfriend's name is Max.","Family","A1.2"
"Freunde","die","noun (pl)","friends (male/mixed)","Meine Freunde kommen heute.","My friends are coming today.","Family","A1.2"
"Freundin","die","noun","girlfriend / female friend","Meine Freundin wohnt in Wien.","My girlfriend lives in Vienna.","Family","A1.2"
"Freundinnen","die","noun (pl)","friends (female)","Meine Freundinnen sind sehr nett.","My friends are very nice.","Family","A1.2"
"Arzt","der","noun","doctor (male)","Der Arzt untersucht den Patienten.","The doctor examines the patient.","Professions","A1.1"
"Ärzte","die","noun (pl)","doctors (male)","Die Ärzte arbeiten lange.","The doctors work long hours.","Professions","A1.1"
"Ärztin","die","noun","doctor (female)","Die Ärztin kommt um neun Uhr.","The doctor (female) comes at nine o'clock.","Professions","A1.1"
"Ärztinnen","die","noun (pl)","doctors (female)","Die Ärztinnen haben viel Erfahrung.","The female doctors have a lot of experience.","Professions","A1.1"
"Lehrer","der","noun","teacher (male)","Der Lehrer erklärt die Aufgabe.","The teacher explains the exercise.","Professions","A1.1"
"Lehrer","die","noun (pl)","teachers (male)","Die Lehrer haben eine Besprechung.","The teachers have a meeting.","Professions","A1.1"
"Lehrerin","die","noun","teacher (female)","Die Lehrerin spricht sehr langsam.","The teacher (female) speaks very slowly.","Professions","A1.1"
"Lehrerinnen","die","noun (pl)","teachers (female)","Die Lehrerinnen kommen aus Deutschland.","The female teachers come from Germany.","Professions","A1.1"
"Schüler","der","noun","pupil (male)","Der Schüler macht seine Hausaufgaben.","The pupil does his homework.","Professions","A1.1"
"Schüler","die","noun (pl)","pupils (male/mixed)","Die Schüler lernen fleißig.","The pupils study hard.","Professions","A1.1"
"Schülerin","die","noun","pupil (female)","Die Schülerin liest ein Buch.","The pupil (female) reads a book.","Professions","A1.1"
"Schülerinnen","die","noun (pl)","pupils (female)","Die Schülerinnen lesen viel.","The female pupils read a lot.","Professions","A1.1"
"Student","der","noun","student (male)","Der Student lernt für die Prüfung.","The student studies for the exam.","Professions","A1.3"
"Studenten","die","noun (pl)","students (male/mixed)","Die Studenten lernen für die Prüfung.","The students are studying for the exam.","Professions","A1.3"
"Studentin","die","noun","student (female)","Die Studentin wohnt im Studentenwohnheim.","The student (female) lives in the student hall.","Professions","A1.3"
"Studentinnen","die","noun (pl)","students (female)","Die Studentinnen wohnen im Wohnheim.","The female students live in the hall of residence.","Professions","A1.3"
"Chef","der","noun","boss (male)","Mein Chef ist sehr streng.","My boss is very strict.","Professions","A1.3"
"Chefin","die","noun","boss (female)","Die Chefin hat heute eine Konferenz.","The boss (female) has a conference today.","Professions","A1.3"
"Kollege","der","noun","colleague (male)","Mein Kollege hilft mir gern.","My colleague likes to help me.","Professions","A1.3"
"Kollegen","die","noun (pl)","colleagues (male/mixed)","Meine Kollegen sind sehr nett.","My colleagues are very nice.","Professions","A1.3"
"Kollegin","die","noun","colleague (female)","Meine Kollegin kommt aus Spanien.","My colleague (female) comes from Spain.","Professions","A1.3"
"Kolleginnen","die","noun (pl)","colleagues (female)","Die Kolleginnen essen zusammen.","The female colleagues eat together.","Professions","A1.3"
"Verkäufer","der","noun","sales assistant (male)","Der Verkäufer ist sehr freundlich.","The sales assistant is very friendly.","Professions","A1.3"
"Verkäufer","die","noun (pl)","sales assistants (male)","Die Verkäufer helfen den Kunden.","The sales assistants help the customers.","Professions","A1.3"
"Verkäuferin","die","noun","sales assistant (female)","Die Verkäuferin zeigt mir das Produkt.","The sales assistant (female) shows me the product.","Professions","A1.3"
"Verkäuferinnen","die","noun (pl)","sales assistants (female)","Die Verkäuferinnen sind sehr freundlich.","The female sales assistants are very friendly.","Professions","A1.3"
"Kellner","der","noun","waiter","Der Kellner bringt die Rechnung.","The waiter brings the bill.","Professions","A1.3"
"Kellner","die","noun (pl)","waiters","Die Kellner bringen das Essen.","The waiters bring the food.","Professions","A1.3"
"Kellnerin","die","noun","waitress","Die Kellnerin kommt sofort.","The waitress comes immediately.","Professions","A1.3"
"Kellnerinnen","die","noun (pl)","waitresses","Die Kellnerinnen sind beschäftigt.","The waitresses are busy.","Professions","A1.3"
"Polizist","der","noun","police officer (male)","Der Polizist hilft uns.","The police officer helps us.","Professions","A1.3"
"Polizisten","die","noun (pl)","police officers (male)","Die Polizisten helfen bei dem Unfall.","The police officers help at the accident.","Professions","A1.3"
"Polizistin","die","noun","police officer (female)","Die Polizistin zeigt uns den Weg.","The police officer (female) shows us the way.","Professions","A1.3"
"Polizistinnen","die","noun (pl)","police officers (female)","Die Polizistinnen regeln den Verkehr.","The female police officers direct the traffic.","Professions","A1.3"
"Mechaniker","der","noun","mechanic (male)","Der Mechaniker repariert das Auto.","The mechanic repairs the car.","Professions","A1.3"
"Mechanikerin","die","noun","mechanic (female)","Die Mechanikerin prüft den Motor.","The mechanic (female) checks the engine.","Professions","A1.3"
"Koch","der","noun","cook / chef (male)","Der Koch kocht sehr lecker.","The cook makes very tasty food.","Professions","A1.3"
"Köche","die","noun (pl)","cooks (male)","Die Köche kochen sehr lecker.","The cooks make very tasty food.","Professions","A1.3"
"Köchin","die","noun","cook / chef (female)","Die Köchin arbeitet im Restaurant.","The cook (female) works in the restaurant.","Professions","A1.3"
"Köchinnen","die","noun (pl)","cooks (female)","Die Köchinnen arbeiten im Restaurant.","The female cooks work in the restaurant.","Professions","A1.3"
"Sekretär","der","noun","secretary (male)","Der Sekretär schreibt einen Brief.","The secretary writes a letter.","Professions","A1.3"
"Sekretärin","die","noun","secretary (female)","Die Sekretärin beantwortet die E-Mails.","The secretary (female) answers the emails.","Professions","A1.3"
"Hausmann","der","noun","stay-at-home dad","Er ist Hausmann und kocht jeden Tag.","He is a stay-at-home dad and cooks every day.","Professions","A1.3"
"Hausfrau","die","noun","housewife / stay-at-home mum","Sie ist Hausfrau und kümmert sich um die Kinder.","She is a housewife and looks after the children.","Professions","A1.3"
"Rentner","der","noun","pensioner (male)","Der Rentner geht jeden Tag spazieren.","The pensioner goes for a walk every day.","Professions","A1.3"
"Rentner","die","noun (pl)","pensioners (male)","Die Rentner gehen spazieren.","The pensioners go for a walk.","Professions","A1.3"
"Rentnerin","die","noun","pensioner (female)","Die Rentnerin liest gern Bücher.","The pensioner (female) likes to read books.","Professions","A1.3"
"Rentnerinnen","die","noun (pl)","pensioners (female)","Die Rentnerinnen treffen sich im Café.","The female pensioners meet in the café.","Professions","A1.3"
"Arbeiter","der","noun","worker (male)","Der Arbeiter fängt um sieben Uhr an.","The worker starts at seven o'clock.","Professions","A1.3"
"Arbeiter","die","noun (pl)","workers (male)","Die Arbeiter fangen früh an.","The workers start early.","Professions","A1.3"
"Arbeiterin","die","noun","worker (female)","Die Arbeiterin trägt einen Helm.","The worker (female) wears a helmet.","Professions","A1.3"
"Arbeiterinnen","die","noun (pl)","workers (female)","Die Arbeiterinnen tragen Helme.","The female workers wear helmets.","Professions","A1.3"
"Journalist","der","noun","journalist (male)","Der Journalist schreibt für die Zeitung.","The journalist writes for the newspaper.","Professions","A1.3"
"Journalistin","die","noun","journalist (female)","Die Journalistin interviewt den Politiker.","The journalist (female) interviews the politician.","Professions","A1.3"
"Deutschland","","noun (proper)","Germany","Ich wohne in Deutschland.","I live in Germany.","Countries & Languages","A1.1"
"Österreich","","noun (proper)","Austria","Wien ist die Hauptstadt von Österreich.","Vienna is the capital of Austria.","Countries & Languages","A1.1"
"Schweiz","die","noun (proper)","Switzerland","Die Schweiz ist sehr schön.","Switzerland is very beautiful.","Countries & Languages","A1.1"
"Europa","","noun (proper)","Europe","Deutschland liegt in Europa.","Germany is in Europe.","Countries & Languages","A1.1"
"Deutsch","","noun","German (language)","Ich lerne Deutsch.","I am learning German.","Countries & Languages","A1.1"
"Englisch","","noun","English (language)","Sie spricht sehr gut Englisch.","She speaks English very well.","Countries & Languages","A1.1"
"Sprache","die","noun","language","Welche Sprache sprechen Sie?","Which language do you speak?","Countries & Languages","A1.1"
"Sprachen","die","noun (pl)","languages","Er spricht drei Sprachen.","He speaks three languages.","Countries & Languages","A1.1"
"Ausland","das","noun","abroad / foreign country","Ich arbeite im Ausland.","I work abroad.","Countries & Languages","A1.3"
"Ausländer","der","noun","foreigner (male)","Der Ausländer lernt schnell Deutsch.","The foreigner learns German quickly.","Countries & Languages","A1.3"
"Ausländer","die","noun (pl)","foreigners (male/mixed)","Viele Ausländer lernen Deutsch.","Many foreigners learn German.","Countries & Languages","A1.3"
"Ausländerin","die","noun","foreigner (female)","Die Ausländerin wohnt seit einem Jahr hier.","The foreigner (female) has been living here for a year.","Countries & Languages","A1.3"
"Ausländerinnen","die","noun (pl)","foreigners (female)","Die Ausländerinnen wohnen seit einem Jahr hier.","The foreign women have been living here for a year.","Countries & Languages","A1.3"
"null","","num","zero","Die Temperatur ist null Grad.","The temperature is zero degrees.","Numbers","A1.1"
"eins","","num","one","Ich habe nur eins.","I only have one.","Numbers","A1.1"
"zwei","","num","two","Ich kaufe zwei Äpfel.","I buy two apples.","Numbers","A1.1"
"drei","","num","three","Wir haben drei Kinder.","We have three children.","Numbers","A1.1"
"vier","","num","four","Das kostet vier Euro.","That costs four euros.","Numbers","A1.1"
"fünf","","num","five","Der Zug kommt um fünf Uhr.","The train comes at five o'clock.","Numbers","A1.1"
"sechs","","num","six","Wir haben sechs Stühle.","We have six chairs.","Numbers","A1.1"
"sieben","","num","seven","Die Woche hat sieben Tage.","The week has seven days.","Numbers","A1.1"
"acht","","num","eight","Ich schlafe acht Stunden.","I sleep eight hours.","Numbers","A1.1"
"neun","","num","nine","Der Bus kommt um neun Uhr.","The bus comes at nine o'clock.","Numbers","A1.1"
"zehn","","num","ten","Das Kind ist zehn Jahre alt.","The child is ten years old.","Numbers","A1.1"
"zwanzig","","num","twenty","Sie ist zwanzig Jahre alt.","She is twenty years old.","Numbers","A1.3"
"dreißig","","num","thirty","Er ist dreißig Jahre alt.","He is thirty years old.","Numbers","A1.3"
"hundert","","num","one hundred","Das kostet hundert Euro.","That costs one hundred euros.","Numbers","A1.3"
"tausend","","num","one thousand","Das Auto kostet zehntausend Euro.","The car costs ten thousand euros.","Numbers","A1.3"
"erste","","adj","first","Das ist mein erster Tag.","That is my first day.","Numbers","A1.3"
"zweite","","adj","second","Er wohnt im zweiten Stock.","He lives on the second floor.","Numbers","A1.3"
"dritte","","adj","third","Sie ist Dritte geworden.","She came third.","Numbers","A1.3"
"Uhr","die","noun","clock / o'clock","Es ist drei Uhr.","It is three o'clock.","Time & Dates","A1.1"
"Stunde","die","noun","hour","Der Kurs dauert eine Stunde.","The course lasts one hour.","Time & Dates","A1.1"
"Stunden","die","noun (pl)","hours","Der Kurs dauert drei Stunden.","The course lasts three hours.","Time & Dates","A1.1"
"Minute","die","noun","minute","Ich komme in fünf Minuten.","I'll be there in five minutes.","Time & Dates","A1.1"
"Minuten","die","noun (pl)","minutes","Ich warte schon zwanzig Minuten.","I have already been waiting twenty minutes.","Time & Dates","A1.1"
"Sekunde","die","noun","second","Warte eine Sekunde!","Wait a second!","Time & Dates","A1.3"
"Sekunden","die","noun (pl)","seconds","Das dauert nur ein paar Sekunden.","That only takes a few seconds.","Time & Dates","A1.3"
"Tag","der","noun","day","Der Tag hat 24 Stunden.","A day has 24 hours.","Time & Dates","A1.1"
"Tage","die","noun (pl)","days","Ich bin drei Tage in Wien.","I am in Vienna for three days.","Time & Dates","A1.1"
"Woche","die","noun","week","Ich arbeite fünf Tage pro Woche.","I work five days a week.","Time & Dates","A1.1"
"Wochen","die","noun (pl)","weeks","In zwei Wochen fahre ich in Urlaub.","In two weeks I'm going on holiday.","Time & Dates","A1.1"
"Monat","der","noun","month","Der Monat hat 30 Tage.","The month has 30 days.","Time & Dates","A1.1"
"Monate","die","noun (pl)","months","Das Jahr hat zwölf Monate.","The year has twelve months.","Time & Dates","A1.1"
"Jahr","das","noun","year","Das Jahr hat zwölf Monate.","The year has twelve months.","Time & Dates","A1.1"
"Jahre","die","noun (pl)","years","Wir wohnen seit drei Jahren hier.","We have been living here for three years.","Time & Dates","A1.1"
"heute","","adv","today","Heute ist Montag.","Today is Monday.","Time & Dates","A1.1"
"morgen","","adv","tomorrow","Morgen gehe ich zum Arzt.","Tomorrow I am going to the doctor.","Time & Dates","A1.1"
"gestern","","adv","yesterday","Gestern war ich im Kino.","Yesterday I was at the cinema.","Time & Dates","A1.1"
"jetzt","","adv","now","Ich bin jetzt zu Hause.","I am at home now.","Time & Dates","A1.1"
"bald","","adv","soon","Ich komme bald.","I'm coming soon.","Time & Dates","A1.1"
"immer","","adv","always","Ich trinke immer Kaffee am Morgen.","I always drink coffee in the morning.","Time & Dates","A1.1"
"oft","","adv","often","Ich gehe oft ins Kino.","I often go to the cinema.","Time & Dates","A1.1"
"manchmal","","adv","sometimes","Manchmal esse ich Pizza.","Sometimes I eat pizza.","Time & Dates","A1.2"
"nie","","adv","never","Ich trinke nie Alkohol.","I never drink alcohol.","Time & Dates","A1.1"
"früh","","adv/adj","early / morning","Ich stehe früh auf.","I get up early.","Time & Dates","A1.1"
"spät","","adv/adj","late","Es ist schon spät.","It is already late.","Time & Dates","A1.1"
"Montag","","noun","Monday","Ich arbeite am Montag.","I work on Monday.","Time & Dates","A1.1"
"Dienstag","","noun","Tuesday","Am Dienstag habe ich einen Termin.","On Tuesday I have an appointment.","Time & Dates","A1.1"
"Mittwoch","","noun","Wednesday","Am Mittwoch haben wir frei.","On Wednesday we are off.","Time & Dates","A1.1"
"Donnerstag","","noun","Thursday","Am Donnerstag gehe ich schwimmen.","On Thursday I go swimming.","Time & Dates","A1.1"
"Freitag","","noun","Friday","Am Freitag gehen wir aus.","On Friday we go out.","Time & Dates","A1.1"
"Samstag","","noun","Saturday","Am Samstag mache ich Einkäufe.","On Saturday I do my shopping.","Time & Dates","A1.1"
"Sonntag","","noun","Sunday","Am Sonntag schlafe ich lang.","On Sunday I sleep in.","Time & Dates","A1.1"
"Wochenende","das","noun","weekend","Am Wochenende fahre ich in die Berge.","At the weekend I go to the mountains.","Time & Dates","A1.3"
"Januar","","noun","January","Im Januar ist es sehr kalt.","In January it is very cold.","Time & Dates","A1.3"
"Februar","","noun","February","Im Februar ist Valentinstag.","In February there is Valentine's Day.","Time & Dates","A1.3"
"März","","noun","March","Im März wird es wärmer.","In March it gets warmer.","Time & Dates","A1.3"
"April","","noun","April","Im April regnet es oft.","In April it often rains.","Time & Dates","A1.3"
"Mai","","noun","May","Im Mai blühen die Blumen.","In May the flowers bloom.","Time & Dates","A1.3"
"Juni","","noun","June","Im Juni beginnt der Sommer.","In June summer begins.","Time & Dates","A1.3"
"Juli","","noun","July","Im Juli fahren wir in Urlaub.","In July we go on holiday.","Time & Dates","A1.3"
"August","","noun","August","Im August ist es sehr heiß.","In August it is very hot.","Time & Dates","A1.3"
"September","","noun","September","Im September beginnt die Schule.","In September school begins.","Time & Dates","A1.3"
"Oktober","","noun","October","Im Oktober feiern wir Oktoberfest.","In October we celebrate Oktoberfest.","Time & Dates","A1.3"
"November","","noun","November","Im November ist es oft neblig.","In November it is often foggy.","Time & Dates","A1.3"
"Dezember","","noun","December","Im Dezember feiern wir Weihnachten.","In December we celebrate Christmas.","Time & Dates","A1.3"
"Termin","der","noun","appointment","Ich habe einen Termin beim Arzt.","I have a doctor's appointment.","Time & Dates","A1.3"
"Termine","die","noun (pl)","appointments","Ich habe viele Termine diese Woche.","I have many appointments this week.","Time & Dates","A1.3"
"Datum","das","noun","date","Was ist heute für ein Datum?","What is today's date?","Time & Dates","A1.3"
"Jahreszeit","die","noun","season","Meine Lieblingsjahreszeit ist der Sommer.","My favourite season is summer.","Time & Dates","A1.3"
"Jahreszeiten","die","noun (pl)","seasons","Es gibt vier Jahreszeiten.","There are four seasons.","Time & Dates","A1.3"
"Frühling","der","noun","spring","Im Frühling ist es sehr schön.","In spring it is very beautiful.","Time & Dates","A1.3"
"Sommer","der","noun","summer","Im Sommer schwimme ich im See.","In summer I swim in the lake.","Time & Dates","A1.3"
"Herbst","der","noun","autumn","Im Herbst fallen die Blätter.","In autumn the leaves fall.","Time & Dates","A1.3"
"Winter","der","noun","winter","Im Winter schneit es manchmal.","In winter it sometimes snows.","Time & Dates","A1.3"
"Geburtstag","der","noun","birthday","Wann hast du Geburtstag?","When is your birthday?","Time & Dates","A1.3"
"Feiertag","der","noun","public holiday","Am Feiertag machen die Geschäfte zu.","On public holidays shops close.","Time & Dates","A1.3"
"Feiertage","die","noun (pl)","public holidays","Im Dezember gibt es viele Feiertage.","In December there are many public holidays.","Time & Dates","A1.3"
"Ferien","die","noun (pl)","school holidays","Ab morgen haben wir Ferien.","From tomorrow we have school holidays.","Time & Dates","A1.3"
"Urlaub","der","noun","holiday / vacation","Wir fahren nächste Woche in Urlaub.","We are going on holiday next week.","Time & Dates","A1.3"
